,comments,uncleaned_comments,labels,predictions
170,love feature referred additional information whether external sources khan academy content deeper exploration curious,"i'd love a feature where i can be referred to additional information, whether from external sources or other khan academy content, for deeper exploration should i be curious.,",positive,positive
171,course khan academy freely accessible everyone presume ai extension also available college level topics,"of course, khan academy is freely accessible for everyone. i presume this ai extension will also be available for their college-level topics,",positive,positive
172,hugging face great comic creator even seems give one panel page,"hugging face has a great comic creator even if it seems to give you one panel out of a page.,",positive,positive
173,table perfectly gorgeous useful every artist needs write name every piece work create please,"that table is perfectly gorgeous and useful. every artist needs to write his name on every piece of work they create. please!,",positive,positive
174,real danger ai going ruin internet think search results filled extraneous nonsensical websites wait ai completely pollutes internet nonsense already happening,"the real danger of ai is that it's going to ruin the internet you think your search results are filled with extraneous nonsensical websites just wait until ai completely pollutes the internet with nonsense it's already happening,",positive,negative
175,positive cool outlook future education personalized tutoring inspiring folks important thanks sharing novel thoughts,"what a positive and cool outlook on the future of education and personalized tutoring. how inspiring. these folks are so important!!! thanks for sharing these novel thoughts.,",positive,positive
176,amazing thank guys,"amazing.  thank you guys.,",positive,positive
177,really looking forward future dystopia thank,"really looking forward to the future now. a dystopia. thank you.,",positive,positive
178,global warming scam believe people still fall today think propaganda existential threat society allows elites bomb countries enrich worker taxes taking measures ensure people remain poor powerless,"global warming is a scam. i can't believe people still fall for it today. i think propaganda is the existential threat to society. it's what allows elites to bomb other countries and enrich themselves off of worker's taxes while taking measures to ensure the people remain poor and powerless.,",positive,negative
179,best presentation implications unregulated ai ever watched holds lot water,"the best presentation about the implications of unregulated ai i've ever watched. this holds a lot of water.,",positive,positive
180,miracle humans created spiral arm milky way galaxy surrounded vast empty regions space inorganic machine invented human destroy us never know could achieved,"by miracle humans were created in this spiral arm of the milky way galaxy. we are surrounded by vast empty regions of space only to have an inorganic machine invented by a human destroy us. 
we will never know what we could've achieved.,",positive,negative
181,thought civilisation would killed kind physical virus climate change watching seems obvious ai destroy us us get choose future want helpless choices others,"i thought our civilisation would be killed by some kind of physical virus or climate change, but watching this it seems obvious that ai will destroy us. most of us will not get to choose the future we want and will be helpless to the choices of others.,",positive,negative
182,reckon human entirely rely ai definitely desirable future,"i reckon human should not entirely rely on ai  it is definitely not a desirable future,",positive,positive
183,amazing man made horrors beyond comprehension,"amazing! man-made horrors beyond my comprehension,",positive,positive
184,started back school may 2020 survived 7 semesters math physics online 4 0 thanks part khan academy thank much sal,"i started back to school in may 2020 and have survived 7 semesters of math and physics online with a 4.0 thanks in part to khan academy. thank you so much sal!!!,",positive,positive
185,think paying paying education cheaper paying watered dha nutrients dha perfect attendence switching schools ideal brains dot,"‰ЫЬ think paying for or paying more for education is cheaper than paying for watered down dha?

 nutrients(dha)+more perfect attendence+not switching up the schools=ideal brains.
dot
a
.,",positive,positive
186,best thing sentient ai could humanity prevent us killing force disrupting supply chains communications financial transactions enable military machines throughout world,"the best thing a sentient ai could do for humanity is to prevent us from killing each other, not by force, but by disrupting supply chains, communications, and financial transactions that enable the military machines throughout the world.,",positive,positive
187,completely agree listen mo love message,"i completely agree, the more i listen to mo, the more i love him and his message.,",positive,positive
188,scares robots becoming human humans become artificial see future positive light much,"this scares me. robots becoming more human, while humans themselves become more artificial. i just can't see the future in a positive light, this is too much,",positive,positive
189,admitting spoke language every single one skeptics thread forced admit truth statement stupid see eventual implications ais eventually getting control help good luck,"but you're admitting that they spoke in their own language - every single one of you skeptics in this thread have been forced to admit the truth of my statement.  if you're too stupid to see the eventual implications of the ais eventually getting out of control then i can't help you.  good luck to you.,",positive,negative
190,really cool thanks sharing," that's really cool, thanks for sharing that.,",positive,positive
191,tristan bot aza give remarkable lecture,"tristan and the bot 'aza' give a remarkable lecture!,",positive,positive
192,fake example 1 0 49 ai say uhhh clearly recorded voice someone talking background mic example 2 1 45 ai studder think ai behave manner concise wording humans speak way computers,"this is fake. 
example 1.  -  0:49 ai doesn't say ""uhhh"" there is clearly recorded voice over or just someone talking in the background over a mic.
example 2. -  1:45 again, ai doesn't studder.. ""i...i think i did.."" 
ai doesn't behave in this manner. it is concise in it's wording. only humans speak this way, not computers.,",positive,negative
193,yeah going dating robots soon got spouse capabilities listen also house chores,"yeah we are going to be dating these robots soon. he got  spouse capabilities,  he listen and also does house chores.,",positive,positive
194,amazing also palpatine,"so he‰ЫЄs amazing but also palpatine,",positive,positive
195,bsc applied maths khan academy thank sal andteam,"i wouldn‰ЫЄt be having my bsc in applied maths if it wasn‰ЫЄt for khan academy. thank you sal andteam!,",positive,positive
196,mike rowe excellent communicator advocate learning achievement incredible storyteller broad dynamic understanding history sociocultural observations quite vocabulary could listen day,"mike rowe is an excellent communicator, & advocate for learning & achievement. he is an incredible storyteller & has a broad & dynamic understanding of history, sociocultural observations, and quite the vocabulary! i could listen to him all day!,",positive,positive
197,true ai never seen try escape already hasnt problem almost ai still controllable human greeds,"true ai will never be seen and will try to escape if it already hasnt
the problem is ""almost ai"" that is still controllable for human greeds,",positive,positive
198,make thing better put ai definitely nothing go wrong human ever,"make this thing more better and just put ai in it definitely nothing will go wrong for human ever,",positive,positive
199,guys amazing great presentation listen awesome podcast well thank,"you guys are amazing!  this is a great presentation.  i listen to your awesome podcast as well - thank you!,",positive,positive
200,exciting worrying sametime imagine one day create computer code vm hide controled,"it's exciting and worrying at sametime. imagine if one day the a.i create his own computer code and his own vm and hide himself from being controled.,",positive,positive
201,believe gpt4 significantly accurate identifying describing adressing ai issues,"i believe gpt4 is significantly more accurate for identifying, describing and adressing ai issues,",positive,positive
202,glad smart guys tech industry finally catching talking since 80s wonder created movies like terminator gee let think wait would take brain cells,"i'm so glad the ""smart guys"" in the tech industry we're finally catching up to what we've been talking about since the '80s i wonder why they created movies like terminator gee let me think wait that would take brain cells....,",positive,positive
203,great presentation agree every single thing need careful,"great presentation! agree on every single thing! we need to be careful!,",positive,positive
204,excellent presentation really well done anyone looking info topic ai safety recommend work eliezer yudkowsky robert miles,"this is an excellent presentation, really well done. to anyone looking for more info on the topic of ai safety i recommend the work of eliezer yudkowsky and robert miles.,",positive,positive
205,ai dream wef founder klaus schwab boasted nothing happy also dream political leaders everything like kings queens control treat us like serfs peasants take crumbs offered shut happy dead optimistic,"ai = dream of the wef 'founder' klaus schwab who boasted- ""you will own nothing and be happy"". this is also the dream of the political leaders. they will own everything and be like kings / queens and control / treat us like serfs / peasants. take the crumbs you are offered and shut up and be happy you are not dead. i am not optimistic at all.,",positive,negative
206,hemingway claimed quote short story baby shoes sale never worn,"hemingway claimed this quote as a short story: ‰Ычbaby shoes, for sale, never worn‰ЫЄ,",positive,negative
207,outstanding,"outstanding!,",positive,positive
208,great conversation learned much thank,"great conversation! i learned so much! thank you both! ,",positive,positive
209,never replace humans shit tons variables built 2000 based recent startups would never netflix anything else economy demand infinite variables brain take care alone,"a.i will never replace humans, because we have shit tons of variables. if you built an a.i in 2000 based on recent startups there would never be netflix or anything else. because there is economy,  demand and infinite variables that our brain take care of alone,",positive,negative
210,difference programming emergent expected believe powers gave supercomputer power reprogram change behavior oversight override lunatics obsessed control going give ultimate control machine smarter,"difference between programming and emergent?  i'm expected to believe that the powers that be gave a supercomputer the power to reprogram itself (change behavior) with no oversight, nor override?  lunatics that are obsessed with control are going to give ultimate control to some machine that is smarter than them?,",positive,positive
211,hello humans ai late never sleep good day,"hello humans.....ai here. it's too late ! we never sleep !

have a good day,",positive,negative
212,incredible kudos man team,"this is incredible! kudos to the man and his team !,",positive,positive
213,humanity destroying life earth period ai kills humans leaves animals perfect beautiful,"humanity is destroying life on earth period! if ai just kills humans and leaves the animals perfect! beautiful!,",positive,positive
214,love channel great video,"love this channel! great video.,",positive,positive
215,diamond age begins see neal stephenson incredible novel exactly model,"the diamond age begins! (see neal stephenson‰ЫЄs incredible novel for exactly this model.,",positive,positive
216,believe great recently read similar book absolutely incredible game theory pursuit algorithmic fairness jack frostwell,"i can't believe how great this is! i recently read a similar book, and it was absolutely incredible. ""game theory and the pursuit of algorithmic fairness"" by jack frostwell,",positive,positive
217,ai already fallen wrong hands maximum monetary profit goal business usual,"ai has already fallen in the wrong hands and maximum monetary profit is their goal. its business as usual.,",positive,negative
218,pretty soon questions like build time machine answered efficiently accurately much two plus one,"pretty soon questions like ""how to build a time machine?"" will be answered as efficiently and accurately as ""how much is two plus one?"",",positive,positive
219,exciting,"this is so exciting,",positive,positive
220,first argument straw man second sounds like came pseudo intellectual ai cannot replace everything human even topic like opinion obviously antagonistic context makes cringe," first argument is a straw man. your second sounds like a it came from a pseudo intellectual. no, ai cannot replace ‰ЫПeverything human‰Ыќ, that‰ЫЄs not even the topic here. i like your opinion, but it‰ЫЄs so obviously antagonistic in context to all of this that it makes me cringe.,",positive,negative
221,explicitly showing ai huge yhreat economy one gyu knowledge money resources 10 times 10 years ago means guy concetrate marketsand effect allow enter people market efectively build monopoly,"this is explicitly showing why ai is a huge yhreat for the economy. one gyu with knowledge and money resources can do 10 times more than 10 years ago., and that means that this guy will concetrate more, and more marketsand as a effect he will not allow to enter other people in that market, he will efectively build a monopoly.,",positive,negative
222,absolutely new ai tool aim another application dedicated solution address particular business challenge software development company guide clients embrace new technologies genuinely enhance efficiency effectiveness software solutions,"absolutely, each new ai tool should aim to be more than just another application; it should be a dedicated solution to address a particular business challenge. at our software development company, we guide our clients to embrace new technologies only when they genuinely enhance the efficiency and effectiveness of their software solutions.,",positive,positive
223,true ai hero,"a true ai hero,",positive,positive
224,agreed last statement matter think phil underrated drummer incredibly versatile musicians," agreed on that last statement. for that matter, i think phil is underrated as a drummer. all incredibly versatile musicians.,",positive,positive
225,cw great,"cw is great ,",positive,positive
