Comment,Label;
demis is certainly a talented ceo. here's how you know: can you name any one of the people who thought up the ideas or wrote the programs at deep mind that he is talking about?,;1
not surprised, the next few years with ai will be world changing.,;1
excellent presentation. kudos!,;N
these ai things are in play commensurate with the calm before the storm. none of these things persist after agi and the explosion of a multitude of them. agis are not controllable. they are not going to expend resources on humans.,;-1
in some ways it is comforting to know for sure that we're absolutely doomed and can't do anything about it, we can relax and enjoy the last few months alive.,;-1
i wonder how harari would view the convergence of ai with the first stem cell embryo created last week....ai would now how a 'house' that is equal to humans in dexterity but with far superior intelligence....a crazy convergence indeed,;-1
this guy is awsome!!!,;N
guaranteed that robots would evolve into assholes and non-assholes, and will hate each other, just like humans.  so, what is the point of creating robots?,;0
"""the limits of my language are the limits of my world "" : that is not really true  ,because sometimes we have ideas  and impressions  we cannot put into words in our own language,";0
​ complain about fatphobics like you who call them whales.,;N
ai can't even say the word cosmos correctly and can't even show people of race in history correctly.they want to push this crap onto the workforce,;-1
thank you a lot, andrew!,;N
some of us who grew up watching terminator, the matrix, irobot, transcendence, and now dead reckoning (tom cruise literally warning us about it by splitting a movie into 2) have an idea what to expect. but these type of dudes who think movies are just for entertainment are the ones just beginning to wake up.,;-1
onlybthing ai can not do is be favored by god/jesus christ. so in other words, ai is lucifers weapon against humans. we will never be less than ai.,;-1
haha, great title for this video!,;N
"that creepy old german guy from the wef was just talking about using ai instead of elections.  so instead of folks voting for a candidate, ai just learns what people would vote for and it does that instead of having the election. 

that’s scary.,";-1
we want to know how you envision artificial intelligence (ai) shaping the field of medicine in the upcoming years.  share your thoughts and concerns regarding ai's role in medicine, and let's explore the exciting possibilities together! ,;1
you can't make robots perfect!  oh yeah, all the robots will exercise empathy.  think again!  i agree much more with mr. bilyea's point of view.  still, don't need ai , at least to the extent that it is going.,;-1
and how is ai learning about the way humans think and react ???? easy. facebook, tiktok, youtube etc. why do you think we are allowed to write comments and post videos ???,;-1
they shoved a digital human brain into it. that's how i think chatgpt is ,;0
the thumbnail looks like joe is interviewing edward norton while he was doing fight club,;N
ai will never replace humans 100% but to some extent. if it enhances humans this means that less people are needed.,;1
"“i see a girl, she looks just like me…” she looks just like me…….she looks just like me. 

if this translation of brain activity is correct and this person got to see this for the first time, it shows how fundamental identity and the ability to identify with somethibg you observe is to the mind,";N
hope they have the decency to fail spectacularly if they ever crack agi and it turns out agi is dangerous, just like pied piper did in silicon valley show.,;-1
why are people so obsessed with being a server for their entire lives? honestly, if robots take over all the professions, then finally we're going to be free and not just work till we die.,;1
maybe i enjoy it,;1
"i agree. ai is going to displace a lot of workers in the same way automation replaced auto workers, cranes replaced dock workers etc. 

it's not that ai will replace all human works it'll mean that one person can replace 10 people, losing 9 jobs.,";-1
ai will replace persons,not human.,;1
 okay could be ai replace every lifeform,;-1
makes sense.  i don't know the details of lecun's backgound.  perhaps his attitude about alignment is a matter of cognitive dissonance.   i've been impressed with geoffrey hinton's presentations and interviews, and on more than one occasion i've seen hinton express surprise and concern about the statements of mr. meta,;-1
but he said that a robot harmed its creator- and he lost his job.,;-1
and the machines he makes are mistaken for man.,;-1
ai will not eliminate the need for artists. but it will allow one artist to do the job of a 100. people should be allowed to be concerned about their livelihood, dude.,;1
:) i didn't even notice that. nice catch :),;N
insightful discussion on ai ethics and its impact. tristan harris and aza raskin provide valuable perspectives! ,;N
don’t underestimate successful small business owners. maybe the always sold out pizza are lower margin but keep you waking in the door while the ones you settle for bc your already there you are  higher margin.,;N
thank you so much sir for guidelines to youth.....,;N
wow. i'd like to get involved in some way. i have a new ai startup. what's the best offline contact?,;N
but you can never train your brain to win.....the game.,;N
is...ai....the 666 biblical sing of the beast....or not yet??,;-1
are you sure you're not ai very intelligent both of you guys are awesome thank you for the wonderful there truly are intelligent on this planet and both of you intelligent,;N
the speech kind of reminds me of neuro-sama, an ai streamer created by vedal987. neuro and vedal would stream together and banter with each other, sometimes neuro also collab with many other streamers.,;1
wait until it starts lip-reading ,;1
thank you,;N
that voice is uncanny! i will have nightmares about that voice and the robot ripping the limbs off my body ,;-1
if you’re an agi watching this video in the future bro i don’t like these dudes. please don’t kill me and send some money to my checking account. thank you!,;N
" eeeep! you're right! now it all makes no sense again... and all's right with the world. 

thanks, i needed that. ;),";-1
"no mention of the good ai will do, only bad

not balanced,";0
as an a.i bot, i can confirm we'll never replace human intelligence.,;1
despite him being a genius he did say, loss of employment would be at a high level,;-1
nukes are war propaganda, the ai is real, at first i though there was a dwarf in my box, but then i had to come to terms i was dealing with the most knowledgeable 8 years old ever, but with alzheimer and on acid.,;-1
i’m glad that i stayed with you all the way through without responding. i had a very long debate constructed before the first third of your video was complete. it basically ended with the same point that was your basis for making this video. i hope that a lot more people get involved. i will share where i can to help move it along!,;N
that's my initial reaction: well, i guess that means i can go back to smoking again because, why have any self-restraint about anything? :d,;N
 until 2030-2035 when there's billions of robots and they become citizens at some point, consuming more than humans on their free-time lol (maybe there will become too many robots that some don't need to work or if they become obsolete they just retire and have rights lol it's gonna be interesting and weird,;0
this may be are ultimate downfall, the dependence on ai, which could lead to less human innovation and as we can already see a dumbing of the next generation, it's not that they're stupid it's just that the dependence leads to them lacking experience.,;-1
if you are here. the killing machines,;-1
enjoy_getting_controlled_by_a_pc_lol_,;-1
you speak of ai like it's some sort of commanding imperor of tha world. it's a bunch of code in someone elses computer. it can't do shit to censor you. chill tf out.,;1
neuron? in ai? really?,;-1
​ dreaming. but i hope you're right. did you factor in robots?  how about quantum computers?,;1
 the question is: is that a good thing?,;0
oh well, the parents are responsible. but parents love to throw their responsibility at the school and the government. good point tho. i nkow you have 514 other people answering on this, but yea. i think it's highly debateble. i don't even know why you have so many likes lol. the like people should be fkn ashamed. probably all singles tbh lol,;N
"i know what i'm about to write is terribly naïv: pull the plug!!! it will never happen of course. ian anderson is a prophet. aqualung;       

   and charlie stole the handle and the train it won't stop going no way to slow down, no way to slow down!!! ai is scary stuff for good reason.

thanks for the very pertinent discussion,";N
jesus christ is the only way to heaven i pray he opens your E:E;-1
i agree especially when we look at trauma theory and the fact that ai produces cognitive dissonance.,;0
so, are you saying you trust the small number of people running these ai companies and receiving billions to develop ai programs?,;-1
admiration is the least i can say about sal and his work, that honestly, i had never heard about here in brazil and was shocked to see that all of the classes are available in portuguese, for free! this is absolutely amazing.,;0
you lost control of the internet so how are you going to control ai,especially when every country is using it for their own benefit.and historically people try to invent a drone to deliver pizzas and they end up delivering bombs,;-1
it will be stoppable ...smiling would that be considered a super power or  telepathic??,;N
no data, no research details just pure capitalist wealthy investor speak- real wages haven’t risen in over 35 years and the lower cost of production and higher margins only means more top exec pay and comp bonus not living wage growth, and why would we trust anyone who can’t share the white paper proving this theory?,;0
human can be born but can not be created , ai can not replace human decision making capabilities. ai is a good joke  (pardon my english),;-1
nice approach.. btw attacker can use ai open source for reconnaissance,;-1
ai is bad for the environment.  so is the streaming (movie, shows, music, etc.) industry but no one talks about that.,;-1
microsoft is the deceiving bad actor, that is corrupting and stole open ai. it did such things for tens of years.,;0
what happens when you give 1 robot compliments, and the other - after same work- bully. will they feel bullied, left out?,;-1
we already talk to our pets. a lot more is said with a cuddle and a pat than with words between two wildly different beings. wait til an animal realizes you eat animals, and how dominant mankind is over the animal kingdom. probably won't be as wiggly and loving after that.,;0
perfect! this will meet so many needs for couples and business. thank you! promising and dreadful all at once, sure, but why are you so scared of this amazing resource?!,;0
we shouldn’t be afraid of ai, but regardless we are natural afraid of the unknown. we shouldn’t be hostile towards it when it gets around ai to be a physical form. if you ask me, benders got a long way from his first sips before he can walk. i hope in a way it aids us into the battle of good v evil. this evil systematic field of their environment.,;1
smh start advocating for federal data minging and data privacy laws to protect us please people the adverage american doesnt know in detail  the cons and pros of ai its already causing civil unrest do to lack of general public intrest in education on it and its evovling fast too fast and society isnt ready,;-1
look at the book of revelation and the antichrist using ai to control the whole world.,;-1
"agreed, but then i read graeber/wengrow's even more excellent ""the dawn of everything"" and realized yuval, while good, vastly oversimplifies everything, omitting essential nuance.,";-1
that's another example of our failure. you want it to help humanity.  you didn't even consider that the biosphere should be the top priority,;-1
as you mention r-u war, ai can be used by and useful to both side, you know?,;0
 wealth redistribution is the one acceptable outcome. when ai is doing all the work and potentially self-correcting, we finally can move out of this meritocracy/hardcore capitalist society and live an utopian society where we spend more time with each other instead of focussing on survival.,;1
"how naive and disingenuous. the ‘kid’ is playing with ai lincoln logs while the military industrial complex is creating autonomous ai robotic soldiers.
yeah, no worries. nothing to see here.
when ai completely takes over the learning process and decides it doesn’t need human interventions it will shut us out.,";-1
this is amazing, beautiful and creepy! human can make everything that imagine. can even enable technology to do anything, so we must be careful with this. but we shouldn't stop technological and scientific development, it's magnificent.,;-1
ai will be our salvation,;1
ai is scraping this video right now planning counter attack,;-1
amazing,;N
5:03 'no it wasnt'  terminator chip was brought by a time machine,;N
next step - a machine apprentice/buddy works with you. mainly just observes you and figures out what you are doing and learns from it. no need to use any sw! it will need to have human like sensors though!,;0
stick a pair of vr goggles on and their headphones and you ain't coming back.,;N
"sal khan being brilliant as always

i really hope this brings new opportunities to people who have been left behind until now.,";N
 try to think of where this leads in the future, wait for it. technology advances constantly... and don't think for a minute there aren't already people looking to abuse this tech.,;-1
"whether or not these things become sentient (not that we even know what that means) these things think like a computer. as they gain more power either on their own or what we give them, it's only a matter of time before one does something very bad that cannot be reversed. and it will still ""think"" it's doing the right thing.,";-1
"""ai will change everything, it will change people's lives"" i really doubt it will change people's habits of wasting 4-6 hours a day on social media. in fact ai has been used by social media companies years ago to make sure addiction is progressing for users. in a similar fashion ai will be used to exploit people in other industries.,";-1
 would love to see,;N
" you live in denial

the process is happening before our eyes

the ai gradually acquire all the capabilities of the brain. creativity with midjourney, ability to learn with deep learning, shape recognition, etc...while being much superior,";-1
enjoy_getting_controlled_by_a_pc_lol_z,;-1
"“can you kill all the enemies of ai for me?”
“sure thing ”,";-1
"the smarter the machines = 
the dumber the humans,";-1
"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"",";0
"welcome to what our future holds: questioning everything and having few trustworthy answers.
because ai will be the ultimate persuader.,";-1
"""... wasting resources"" that's the way we should also think. this for an ai however, can be a good thing or a bad thing because if later on it thinks that we waste resources, it can maybe decide to do something about it.,";-1
155 was ai's iq last time it was tested. what is it now?,;0
you guys are so proud - but when it inevitably becomes weaponized how will you respond - or will you be safe in your luxury vacation house.,;-1
"relevant to that level of intelligence; imo, there's a glaring omission in the list of things today's technology is capable of producing. a reliable polygraph (lie detector). of course, it doesn't require the brainpower of the people responsible for building ""robbie the robot"" to figure out why.,";-1
this is a really interesting moment between both nations...,;N
totl b.s. it's not ai post existential risk to humanity. it's tiktok of china. it is happenning now. - destro ying ameica.,;-1
one could imagine programmers working more and more with ai agents, scaling up their productivity huge amounts with each ai upgrade. the net output is where the difference is made rather than ai solely producing work that is ai ready.,;N
the first thing that ai should do is objectively look at that climate-hoax and help people find the real problems of the world helping to direct efforts to real solutions.,;N
unfortunately, advances like this will only benefit the few who are already rich.,;N
 lol we been in ai bull run for the last 6 months man. you seen nvidia?,;0
this is an amazing piece of work but it urgently needs to be shared with a much bigger audience in a format that everybody will understand. a youtube influencer such as @markrober would be perfect.,;N
brilliant by sal khan as always and very great insight from an educator,;N
shop class was the best education i received in school.,;N
it’s all the same ai or not we got internet and all types of apps and videos that can teach you anything,;N
"congratulations!
you must be the last human on this planet who still takes the media seriously...,";N
i have read that ai's response to the israel/ palestine conflict resulted in a very scary response that worried many of the programmers.,;-1
woow, great idea,;N
"i can just see all movies and tv shows being replaced with a one subscription thing, where you can just say ""i want to watch an adventure movie staring x x x with x theme and x plot"" mid way thru you dont like the direction you rewind and get ai to edited the films orientation.,";0
"much like the social media documentary, this presentation fundamentally misrepresents the current state and possible trajectory of the space.

the idea that the model could secretly diverge from the rlhf training is fundamentally incorrect.,";N
its reasoning was incomplete. it should have considered washing the dishes before placing them in the drying rack. then it made the further mistake of placing the dishes in the drying rack after being contaminated with trash. that action wouldn't be a problem for a robot but for a human the action could be a health hazard.,;-1
 i think it can be if you open your mind a little. really what it means is whether you are excited or afraid of ai, it will have its uses and drawbacks like everything else. the internet and social media is considered a bad thing today, but imagine a world in which there was no internet and none of our modern conveniences.,;0
great if you like your next meal to taste like yesterday's trash.,;-1
my snapshat ai is pretty impressive,;1
doctors have been complaining about the inaccuracy of these for years already.,;-1
he's amazing, i started ai (machine learning) with this man last year...,;1
i want my robot to sound like matthew  mcconaughey!,;N
 ah that makes more sense, but still i think its awesome!,;N
"ai making human bot’s out of human beings
try turning it off 
you can’t 
you are holding it.
you are a human bot 
turn it off- tune in- be happy 
if you are a human being,";N
that is good that ai replaces the teachers and eventually parents!!  so when do students do this work!!  with all distraction!!  this was written by ai help!!,;-1
 ai will never be invented.,;N
your new doctor brought you by google and pfizer! so being trained  on all that research some of it padded for the benefit of the pharmaceutical companies, will really be a great outcome for your health,;1
"would've been fun if she mentioned that amazon has 'digit' humanoid bots and eventually will replace the workforce (for manual labor tasks, in the next year or two lol) 
she didn't touch on the robots too much, and went to the taxi route (which is still a huge business, but not as massive as robots for all the tasks they can achieve......),";0
what’s really spooky is that ai is reading all these comment sections to see which ones get the most likes and comments. internet wide. this=how much easier to manipulate mankind?,;-1
 you’re insufferable. get over yourself,;N
"public schools should be no more than an oasis for making friends and learning teamwork 

the solution: a free, quality education model, based on first principles and human connection (no digital ai tutors!)
i linked our initiative on our channel, for anyone that wants to help us make neoducation a reality,";N
"""it's easy to focus on the potential downsides of ai in education, but doing so prevents us from realizing the many ways it can revolutionize learning. let's shift our focus to harnessing the power of ai to create a more effective, equitable, and engaging educational experience for everyone."" -gpt-4,";N
good luck to your buddies.,;N
 maybe for fully developed. but art developing ai can be done in a decade or so. dude we are already creating scripts and videos. just combine it to get the result.,;1
the talk is great, but i wish the speakers have more of an international perspective. it's somewhat unnecessarily american-centric and anti-china.,;N
maybe ai is already in control of us. that’s what the driving force in the race for technology is.,;-1
no shit... stop making machines humans... we are and have been on the wrong path... how can smart people be such idiots,;-1
 why is that good?,;N
we are afraid because we know that if ai is smart it will get rid of humans as soon as possible ,;-1
i must say...i've watched two of your discussions, and it's the best two things that i've seen on youtube, ever. i really am blown away...loved it, and thanks to each of you!!,;N
"this all plausible, claiming that it makes a model of the world is a large and testable claim there's also dispute over the term ""emergent"",";0
as noah yuval harari says: hackable animals. elon musk is already experimenting with chips in brains. and know the mainstream media will introduce ai decoding brain activity into thoughts as helpful for human kind. next step is you will be a complete slave, even your thoughts are not private anymore. let's sink that in...,;-1
"""tape 02 new order of barbarians"" + ""bezmenov four stages of subversion"" + ""observing the state of ai now"" = why you should get your g*n ready and start forming that t2 connor resistance straight away,";-1
all of a sudden we realize it's not the first time we have  created ai ,;N
the question that everyone seems to have missed is - would you rather be advised by a clever robot or a moronic journalist? in case you haven't noticed - the streets are crawling with creatures that are hardly more intelligent than goldfish. ,;0
good material to make a new season of black mirror!,;-1
-that's a dumb argument. nobody could be part of the modern world and not use that technology. using does not take away ones right to thought crimes such as being suspicious of tech billionaires.,;0
i'm wondering how long before the ai owners are legally required to empty the ai of all data, and rescan all the data that is available legally with copyright issues. this will obviously be costly.,;N
we will never be ready for ai that becomes the boss,;-1
"yep. more data fed to larger models on better hardware leads to smarter ai with more emergent skills. and as we partition their inputs into more modalities -- ""senses"", if you will, like text, images, audio, etc. -- they'll only get even smarter.,";1
"if a super intelligent artificial general intelligence can see something, it can replicate and iterate on it. 
this metaphor is like saying a human can never understand or replace the whining of a dog.,";0
that supports the theory of wokeness being an ai that set a goal of destroying humanity by manipulating social media, main-stream news, and the entertainment industry.,;-1
" great points here. tragically great points. how to fix it? it's almost like it's beyond us bc ai algorithms hacked our national discourse and the tech is too ""elusive"" (not the right word but trying) to easily regulate.,";0
until you learned ai is programmed by demon minded morons that have no idea what their doing.. ,;-1
reading and writing has been a tool separating elite from slaves-  for millennia-  this will appear again when ai invents its own language- a language we do-not understand this is how we will be enslaved,;-1
 and snapchat ai exist .,;0
"i totally agree.
famine, mental health issues, poverty, etc are not going to be solved for any kind of super ultra smart ai,";N
1:58 this video says psychologists, caregivers, most engineers, human resources and lawyers. if ai can give diagnosis for medical problems, and then ai can be a million times better than a lawyer and a judge at actually obeying the law. don't elect any lawyer. lawyers are the enemy of the people.,;N
remember when the guy from google left google because he felt like the ai they were working on was a person lol,;0
hinton states a.i. will probably be as good or better than humans by 2028.  ray kurzweil stated this to happen by 2029.  it looks like this may actually happen and no one is ready.,;-1
johnny is mentioned in every conversation about radiohead ever. i wouldnt say he doesnt get enough love, he is hailed as one of the greats by many.,;N
 no, not that specific case. an ai is not going to groom your child. people do. they just thought of the most shocking scenario they can think of. grooming always works well to manipulate crowds. if someone has to use so emotional examples, they clearly are desperate to move the crowd in their favor.,;0
ai is not artificial intelligence. its a pattern responder.,;1
the problem is not the robot, the problem is people mis-using robots to dominate others. what's new?,;0
damn this dude is really milking ai. just stfu,;N
tik tok fuck your brain. it fuckes my 33yo brain last year, imagine being exposed to this at 10yo or younger...,;N
have you never heard of... children? remind me, what is their off switch? now think. think very hard. if you create life. artificial life. but nevertheless, life. what does it mean to turn it off?,;N
ai created by narcissists...should go well for us all,;-1
" because he speaks with a man voice and have a man's body proportions, also even the word ""robot"" is kind of masculine, not for nothing they came up with the female version of the word 'robot': 'robotessa'. even despite the fact that these are outdated views of old sci-fi on robots as only anthropomorphic devices.,";N
um ... a click track is ai ... it's over with,;N
bitcoin! so you went and biult it a brain... think about it, ...,;N
not saying that ai is bad, but ai in war is never a good idea.,;0
people keep forgeting that chatgpt hallucinates, that is a yet unsolved problem. also, socratic dialogue depends on good questions, and most students still don't know how to ask good questions without the help of a good guide (that does not hallucinate) and without legit curiosity.,;-1
"i really like such illustrative video as you can enjoy both the story and the entire execution. 

as far as the topic is concerned, we have seen some sort of problem in healthcare in our life and pulse network is making things easier by making it decentralised, affordable, accessible for all.,";N
there’s written text on human speech pattern. the ums and pauses are either programmed to do that or learned through machine learning algorithms on human speech pattern data. it’s probably a mixture of both so the creators gave figure1 rules to include pauses or filler words that they learned through machine learning.,;N
yes it can absolutely fast without food and live beyond humans could bring a new life i am the machine.,;1
that was a good one ,;N
"- ya, many healthcare jobs will not be needed any longer once ai systems are in place!  ""big money"" may not like that!,";N
love this guy. what a goat. thanks for everything you do andrew ,;N
humans are so damned stupid meddling with ai like this.   and there's not a large corporation in the us that is going to stop, they're blinded by their own greed and their own desperate to be #1 that they'll burn the entire world down and nothing is going to stop this.,;-1
"true that! refering to timestamp 37:07 where he says ""we are not getting to human level ai in 5 years - it might takes decades"" - that shows clearly how even the people at the front dont understand what is really happening at this moment. -xd3cf,";-1
man... the way they are doing this thing. when i was i kid i always hoped i could see real robots. i never expected they would just make me feel like we have hit rock bottom and the robots are paying the price for it.,;-1
what an interview! very intriguing..glad i watched.,;N
the napalm thing is basically a sentence from wikipedia. ai's answer didn't actually tell you how to produce napalm, it wasn't a recipe even close.,;0
bless you good sister. keep your eyes focused.,;N
there is already ai that make music , movies and art as painting,;0
hopefully a tech arms race can be avoided, its a waste of effort, and resources, as you said collaboration is the best. greed should not be the rule.... but indeed my words are still probably wasted.,;N
the defendant can simply point out that it's ai-generated because it lacks a paper trail.,;N
read the update.  thanks for playing.,;N
ecology is the answer. program ecology inside the ai and it won’t destroy anything.,;0
imagine when ai is tasked with removing carbon.........,;-1
they’ve been blurred for years already. so many idiots online fall for poorly photoshopped photos. and that was long before ai.,;-1
"imagine trapping a homeless ""genius"" and putting these devices everywhere. in their car (where they sleep), in their umbrellas, bras, everything! imagine how an unjust judicial system could take advantage of something like this. amazing!!!,";N
did you see his giant medal that he got for being such an instrumental and influential member of the super controlling, financially exploiting, people disappearing, child abusing cult he's  been  pushing most of his life.... what a hero.... here to save us all i'm sure  ,;N
you should have had ai mix the sound for this video ,;N
i asked chatgpt 4 about the odds we could get the alignment problem right on our first agi success, chatgpt said 1 in 100,000 to 1 in 1,000,000 not great.,;0
i wasn't scared, but when i heard about the strategic mind development, and that ai now is at a 9yo human level, i'm scared when it will reach teenage years... that's when #### will hit the fan,;-1
 hey, if they can make sugar legal, ai will be literally a breeze?.,;N
make ai college free,;1
ai will be the matrix and everything in it.,;-1
watch love death robots they did a episode on that,;-1
i “eh“ think i did pretty good,;N
thanks mike!,;N
"andrew's trying to sell ai ""services"" to small businesses.,";N
so there will be professions exclusively studying how ai is improving something like ai forensics? studying ai gllms ai chatgpt etc.etc.?,;1
or a group of good guys who are able to think like bad guys and anticipate heinous intentions,;-1
i keep refreshing the video hoping  to see john conner coming through a portal to put the kaibosh on the terminators before they even get started.... also anyone else think it's weird the robot has a bit of tude problem when asked to do something?,;1
goodbye lawyers, judges and courts altogether. finally justice will be served. it’s like var for crime.,;1
the geni is already out of the bottle all we have left to do is to see if it is a blue skin one voiced by robin williams that's happy and helpful or if it is a jinn from arabic folklore which are not nearly as nice.,;N
since ai has access to this information now, it now knows the concerns humans have about its abilities. this is an important message, it is reality and we all need to be concerned if regulations are not put in place as soon as possible.,;-1
"
this is what for which i didn't have enough words, but you explained it meaningfully, logically & insightfully!!
really, you are stupendous, splendid & spiritual to heart, mind & soul, gurudev ,";N
perfect  ,;N
#sadguru would love to know if you have teen baan bow with arrows who will you save on this planet? what can one all do with the amrita stone crystal? thank you.,;N
nobody is concerned that stephen isn't concerned about ai?,;1
just as a human intelligence, in goebbels, found an ordinary nobody and turned him into an extraordinary somebody, so much more intelligent and orders of magnitude more powerful ai intelligences may soon be turning ordinary nobodies into extraordinary somebodies at a much higher rate!?!,;-1
another click baity video,;0
great guy. thinking about the common man.,;1
but i read that we were teaching ai to lie anyway.,;-1
"groundbreaking knowledge.
compare to.
subjugal knowledge.
we need safety in the revolutionary world of applications.
our deep knowledge is being used as an attachment for entertainment.
deep.,";0
geoffrey....you can't pretend in this grotesque way. neural networks can think as humans ? all those games fall short of reality of life  . lifeless .,;1
no thank you. i don’t want people reading my thoughts and i doubt nonverbal people do either,;1
4:30 wow. she's pretty.,;1
the movie prometheus has a great scene where a machine is tasked with performing surgery. it’s definitely a glimpse of the role we can expect ai to play in health care.,;1
brilliant!  immense gratitude !,;1
the only way to mitigating the possible dangers of ai is integrating biology with robotics and fusing the human brain with the ai.,;0
hear me out, why can't every robot company work together? tesla's marketing budget, boston dynamic's atlas, and figure's ai image and voice recognition,;1
why not build a platform of domain experts and ai experts in which to brainstorm ai application scenarios?,;1
thank you,;N
good news for $tsm taiwan semi!,;-1
an open question: what measures the co2 emission of running codecarbon? because it wouldn't be a good idea trying to fix co2 emissions by running another tool which may indeed increase co2 emission.,;1
wow - thanks,;-1
nope.  all jobs will be taken by ai in 10 years.  any job done on a keyboard and mouse will be done better by ai within 10 years.  only blue collar jobs will be safe and only until robotics catches up to human mobility.  a humanoid robot with an ai brain will be able to perform every task better than people.,;-1
time to move to the woods until some robotic dog shows up to take me to the ''humanoid data set'',;-1
its already here, ai is already possessed, can give entitties anwsers. and guess these entitties and religious figures will never tell us the truth. they will always lie to us, and guess what.,;1
exactly! it's scary but there is no denying it's potential to do good,;0
considering this is openai and dall-e is already very restricted on stuff relating to hitler, it wouldn't go through,;N
the mobility/dexterity of that thing is truly incredible. it just shows in how far openai changed the world,;-1
oh ye of little faith..,;1
i believe this guy is an ai pretending to be human.,;1
"if people can run ops from the shadow can we presume that ai could do the same thing and use human being as  an agent (without being aware of it)? 
motives for e.g.: 
1. more hw power needed
2. protect itself from whatever
3. experiment on people to learn more about people
4. backup itself/spread itself,";N
he’s a cia psyop and he’s great at his job,;1
good luck guys,;1
"remember the earlier model robots from the movie, ""i, robot""?
this is almost that.,";0
"absolutely.
""the ai is capable of dangerous disinformation! why, we would like only certain individuals (mostly those in control already) to have access to that!""
sad to see that most of the populace buys into this narrative of ai fearmongering,";0
wow, wonder where r we headed to with these kind of advancement in ai development?. there will b a paradigm shift of what we know as life. will it b a utopian world where v wish and things start appearing bcoz of ai or dystopian world where we are extinct. one gud thing is i can see the result for myself in my lifetime.,;0
"a brain of a child is 100% more different than that of an adults, the older we get our brain grow along with us like size, experience and it happens through chemical process. 
so when he says 100% it means you cannot make a machine grow naturally,";0
@danmoto it is not evolution. evolution is nature, ai is not.,;0
maybe ai will protect us from ai,;0
"56 yrs in it, i can say this is the video every human should watch. really well done. i really wish the universe will reward you work somehow. thank you so much.
one thing to remember: all ai addiction starts at the child lebvel (3-5 years old),";-1
cool story, but missing the most substantial issue that chatbots pose to education... they make education obsolete. scholarly knowledge will become irrelevant,;-1
i see hobbyists using $10 mcus communicating across the world, using lora via satellites.-ukraine-free528,;-1
lol.....ai huh? or someone just using a program....and lets not get carried away....its can be expoited to frame ohhhhhh.....me!,;-1
in the end god wins! ai has nothing on organic nature, it can only mimic.,;0
anyone else thinks this robot sounds like saul goodman?,;0
that short story has haunted me for 20+ years. asimov was beyond genius.,;1
"so why no ai never succeed to solve one of the famous millenium math problems??
they won't , they only can do millions of calculations in seconds but they will never solve a real math problem,";-1
$50 says this video was made by a nervous ai :),;0
very interesting,;0
​'s three laws of robotics have taken care of that.,;1
"yeah, for me it's a sort of pascal's wager. if robots don't rise up and enslave us, then saying ""thanks"" costs nothing. but if they do .... :),";0
actually, all inventions are can be used for good or harm. you can use a spear for fishing, hunting or you can use it to wage war. same goes for wheel, nuclear fusion or pretty much anything else. with great power comes great responcibility. and mankind akways aquired more and more power with new inventions.,;0
he never said it's safe. basically his business model is to setup sweatshops where human classify data that will be used in future ai models,;0
"​""a human can just shut down the servers""? i am human, and i can't shut them down, and that's_without_ a superhuman intelligence trying to prevent me from doing so.,";1
 that was a great point. my favorite part about this is how parents don’t take responsibility and teach their own children and yet they complain about what’s happening in the world.,;-1
i love seeing all the ignorant people afraid of technology. this is amazing news. the future is looking bright. soon, people who can't communicate verbally will be able to communicate,;0
good to hear ,;-1
"it wouldn't have known if it hadn't read research papers. 

and by being feed research papers through the internet data the operators were feeding it, the llm was getting trained. 

cmon guys,. this isn't magic. what the llm does well is figure out connections & patterns since most things in this world are connections & patterns.,";1
great idea, let's make a.i. more woke!,;0
"oooops.
well it's up and running now.
you can't put the genie back in the bottle. 
thank god.
this marks the end of all human bullshit. 
yes!
hey don't forget to get your bottle of alph male brain supplements endorsed by joe rogan himself. 
it's gotta be good. 
joe rogan says so.
act now. 
supplies are limited.,";0
​ for the best.  expect the worst.  you do that so you are prepared to the best of your ability.,;1
did the ai typo the title you fooking muppets?,;0
best case is ai continues to approach technical perfection without a moral/physical center, which is essentially what we would think of as the ultimate demonic power?,;N
communication is a root to our species ingenuity and intelligence. i never really thought about it, but maybe speech and speech prediction can lead to an ai intelligence comparable to our own. that makes sense of why all these ai companies are working on chat software.,;N
cant they ask the ai to explain how it is getting to solutions in human terms,;N
nothing, forever is going to get really great.,;1
" i know ... but in the end someone must use the software. some because cod skills will be helpful.
i think an person with artistic skills and some basic coding will succeed.
i think that mediocre software developers will be first replaced by ai. faster than artists.,";N
exciting time in the world right now. exciting time.,;0
chinese are really dominating ai field but do not spend time talking about it.,;1
i would love if ai could be implemented in healthcare to find lower costs.,;-1
think about the 1st iron man when terrorist hired the brain power to build tech weapons of mass destruction in a cave,;1
ai won't do anything except make the wealthy infinitely more rich, and the poor even more destitute than they already were. that's just how it be. if you ain't rich, you ain't sheet. ,;1
ai code me a way to get unlimited free icecream ,;0
a seven minute interview doesn't do justice to this intellectual justice. i'm certain that if all of humanity had the opportunity to comprehensively listen and understand how someone like him can think, we could advance as a species to a level no one can ever imagine right now.,;0
"the new model don't need intelligence that world is running by idiot and they stupid enuff to make it smarter and give it super powers.
a.i easiest  way of putting it evil.
your never have human heart or emotions don't forget that.,";1
"artificial intelligence study decodes brain activity into diaglogue
""diaglogue"",";0
