,comments,predictions
691,"die cancer brought incestual ingestion dull, lame, disconnected trash. could happen within months years. soon internet flooded ai generated content. ai consume generate content eventually goes insane, true connection anything resembling reality.",negative
692,let women run everything. we'll getting real great reset.,positive
693,collapse commercial ai. open source. true open source ai unhindered.,negative
694,"yes, exactly. lots garbage openly available internet elsewhere fed into. real garbage, even repetitive low quality university thesis papers might time time get access to.",negative
695,great video!,positive
696,"chatgpt completely sucks even 4.0 writing void life creativity. idk you’ve read even classic, say english american authors, (hemingway, fitzgerald, thoreau etc.) ai stuff can’t come close",negative
697,good video! makes total sense!,positive
698,"think ai huge scam meant next gold rush. get investor money, sell gullible politicians idea handful companies technology, everyone runs screaming: ""take money!"". smdh...",negative
699,"true see ai image recognize right away now. colors, shadings, style, screams ai. it’s beautiful looking beautiful looking like aim beauty there, without personality soul. it’s robotic.",positive
700,"ai collapse, useless models stop becoming novelty. models meant business/industrial support going heavily alter world functions within 10, maybe 20 years.",negative
701,"worst case scenario, it'll like walmart moving community, destroying mainstreet businesses, everyone takes wal-jobs, walmart closes local economy crap simply leaving ghost town people capital, business acumen consumer base reboot mainstreet.",negative
702,ai intelligent all! machine.,positive
703,"already see called ""ai"" limitation capabilities random result inspiring all. end ai need us generate something inferior already established. even living real brain think",negative
704,"data already polluted outset. ai started scraping internet; first filter adult content (99.9%) internet, remaining 0.1%, 99.9% seo marketing.",negative
705,"artificial intelligence never outwit human brain... machine faster human, human created machine.",positive
706,best way defeat ai use fill much garbage possible. resisting traditional sense completely pointless. want make product unusable obsessed it.,negative
707,"nah. think we're going integrate ai. ai going become conscious integration, thanks us. perfect synthesis :)",positive
708,guarantee write based experiences anything ai generate replicate.,negative
709,feel absolutely shame declaring tasteless unintellectual love woman.,negative
710,"current called ai systems (in reality fancy query processors slightest understanding questions asked answers given) another product corporations invested trying pump hype sell. product failed, hype die.",negative
711,high hopes ai. can't even help check groceries without call human assistance,negative
712,"absolutely love reading comments & knowledge shared people. seems like computer program really know world, discernment. still pretty interesting & useful.",positive
713,look people hating cgi movies point movies refuse any. ever read anything written ai know ability make exciting subjects boring.,negative
714,good luck making serious dime corporates chuck entire portfolio ai free use comes out. poison everything.,negative
715,"love listening channel, explain complex subjects clear easy simple way easy comprehension thank keep great channel love",positive
716,without forcing randomness models every ai image end looking like kardashian eventually. human creativity inherent them.,positive
717,"current ai real deep understanding. advanced robot parrot text. advanced text painting generator images. humens understanding environment interactions works subliminallly many, many levels time. also freedom. directed reward like ai strict sense.",positive
718,imagine part garbage also intentional manipulation wealthy people bad intentions. mean putin already spends millions even billions misinformation campaigns. ai another avenue.,negative
719,turn another great source human corruption. sounds like phones communication systems unreliable.,negative
720,a.i systems collapse believe late. systems give false impression working even collapsed really staying dormant waiting right time...,negative
721,nothing wrong white. common sense somehow feel worth mentioning days. mention ai tends create white people definitely true woke gemini. love videos!,positive
722,i've tried use creating lyrics. makes everything sound like robert frost poem. impressed.,positive
723,"stop jerkin ego off, amazing, chat gpt tool improve super duper easy tell thing always hahahahahahahahha",positive
724,well makes sense. core driver machine learning find efficient path. convergence homogeny naturally follows.,positive
725,"whenever read words like ""unlock"", ""unleash"", ""delve"", ""super-charge"" start throw up. far ai alpha centauri earth.",negative
726,never call ai. close actual ai garbage scooter things hoverboards.,negative
727,creativity comes god. turns things going get really interesting!,positive
728,"'garbage' ai data goes in, woke agenda censorship programmed forced purpose. also 'ai' generated images usually made ai. algorhythm creates based big data. that's ai all.",negative
729,"gigo never truer. ai clean now. youtube algorithm problem. even censoring speech. permitting thoughts policing others. exercise power, nothing less. monster already among us.",negative
730,"think devices collect life experiences mood ,social interactions, new data set always come feed ai training . it’s true pop culture combined soft power tends level diversity expectations broader range you’ll always get exception emerge",positive
731,​-ms5es6pr8eit's crazy anyone whose aim demolishing entertainment industry monopoly sending message™.,negative
732,"ai dumbing fixed new, ‘intelligent’ ai future. humans fix internally cross checking output model expected. thus know elephants don’t two trunks, automatically discard thoughts. ai grow too….and will.",positive
733,"work ai. truly amazed ai, see generate poetry power, relevance contemporary themes power captivation awe inspires humans, drives generations humans future. ai come something like lord rings, filled awe.",positive
734,yeah almost bit misleading bc _sounds_ intelligent yet ability even make basic inferences. far main strength ability rapidly find information various sources consolidate organized manner.,positive
735,"​-222robots starting replace construction workers. saw bricklaying robot video, impressively fast accurate.",positive
736,"every time see something instagram suspect ai generated, look profile posted becomes immediately obvious little variety ai generated trash",negative
737,"​ computer learns one bit time, brains learn multiple x multiple things time, instantaneously. brains actually dump noise, turns continues working everything recieved senses memories, imagination, course create.",positive
738,"certain stage outpace us practically everything, even creativity.",positive
739,wow. idea. got favorite movie ever. thanks info!,positive
740,"whenever see ai images, videos spoken content well obviously repeating patterns youtube videos, feel increasing nausea refuse watch them. simply block content creators …",negative
741,"ai experiences common failure that's incorrectly referred hallucinating. no, share commonality human cns dysfunction, confabulation. similar records get recalled factual events confabulated continuous error train.",negative
742,"every time tried ai seen nothing garbage results. going collapse, never managed anything useful first place there's nothing collapse.",negative
743,"mass delusions today, i'm skeptical prospects ai development. hell, little real intelligence begin with. word salad i've seen ai far. want see new 400 hp, 200 mph engine cold fusion like i'll think another pitiful delusion.",positive
744,"ai called ai than? never rated anything saw ai. isnt even option, cases.",negative
745,fake ai generated images trump black voters give away phenomenon. women voters shiny one image one man extra hand.,negative
746,you! lady incredible! super sexy brilliant! mind set subject choice impeccable. thankyou! much! looking forward seeing again. *-*,positive
747,"love grounded reality channel!!! *retirement took toll finances, involvement digital market, $15,000 weekly returns life changing. awesome god*",positive
748,"nope, ai ingest video youtube place. image satellites, video audio camera watching real world. infinite amount information beyond language.",negative
749,excellent apt analogy! :),positive
750,"happens woke activists get hold mass censorship. gemini complete useless failure. theyll never able fix follow far left mantra tropes, stereotypes, inclusion, non white... world entire history isnt made fable corporations want project...",negative
751,google worthless. know ai search joke.,negative
752,"great little bit content sabine. worth like comment hot press, super topical, super interesting. natural intelligence quite asset world.",positive
753,"100% ai companies inject randomness, whole point industry make ai generated content indistinguishable human generated content, lacking creativity seen bug randomness solution new feature rather dystopian idea actually is.",negative
754,excellent video. i'm pretty ai never crossed mind.,positive
755,excellent filter phrase... ;),positive
756,"nothing one absolute,that's there's errors. want bad create perfect thing,or perfect replica living beings make imperfections comes flawed like us..",negative
757,garbage garbage does. garbage people think garbage ideas hire garbage people create garbage products. ai content generation plagerism - everyone related development criminal enemy humanity.,negative
758,like early pixar humans perfectly symmetrical faces.,positive
759,"really ""love"" tool human expression replaceable fucking machine",positive
760,"google gemini created offset plethora bland ‘white’ images…. indian, chinese, japanese, non-caucasian latino, native americans? seems like ai 2020s proved racial integration harmony failed experiment.",negative
761,ai origin creation ultimate consciousness creates reality.,positive
762,"humanoid robots, become thing, continuously collect fresh real world data.",positive
763,"fascinating insightful take i've heard while, thanks sabine researchers behind it!",positive
764,couldn’t agree more. it’s painfully obvious ai monkey creates images “ancient egypt”. glyphs incoherent ways even people zero understanding glyphs would never allow paintings. physically makes nauseated see student symbolism.,negative
765,tells fails miserably even remotely replicate ancient symbolism. especially egyptian temples literally drowning symbolism head toe.,negative
766,"agreed. garbage in, garbage out. ai poor teachers. hyped something luring investors invest whole lot money.",negative
767,"awww gee, ya think? almost people said moment ai announced. branch technology leads dead end. give abandon llm now, learn live without it, years ahead keep struggling vain get finally something useful.",negative
768,garbage garbage out. video climate science? oh wait one political tool nvm.,negative
769,"contrary, search produce white young good-looking results. tried requesting ai generate images ""american forefathers""?? get weird results truth",negative
770,turns human’s greatest quality ability make mistakes. turn innovation.,positive
771,"ai teach us truly matters ... human connection true emotions care about. spending time loved ones, (com-)passion etc.",positive
772,honestly sounds like teething issues ai. new technology. mean rude getting hopes fields.,negative
773,"interacting _ai_, like child. like see beautiful human creation growing faster smarter. human emotions feelings help us develop true way, loving forms life planet, even intelligent are. thank sabine hossenfelder!",positive
774,"*never* watch news much less click mainstream news outlets youtube. morning went click ""not interested"" pages pages videos, almost 50% mainstream news outlets bizarre videos handful views absolutely interest me. youtube decay reflects google's decay.",negative
775,"could incorporate algorithym {s}/ 'enforce' diversity.... inanimate/ machine , unlike human brain -far ~ where's elon? ~ ..... , radically adjusted/modified/ re-designed .... come colour { ; !))",positive
776,ai programmers refuse allow ai describe reality...it always wrong. people need stop offended descriptions reality. (descrptive prescriptive!),negative
777,"thanks spiral, sabine . perfect picture quantum gravity.",positive
778,"starters, ai immensely biased towards woke marxist agenda enveloping globe ........ hum, wonder is...!!! great video...!!!",positive
779,"reality is, ai. trumped software claim. make dollar you. bought too. ai folks. junk called ai",negative
780,"garbage in, garbage ai anything else superb dr. 'married divorced' beautiful hossenfelder darling.",negative
781,"already see people complained ai going replace (writers, artists even programmers) paid train ais work avoid issue.",negative
782,"false ""intelligent."" repetition authors source code. btw explored 1950's movie ""the forbidden planet."" great movie exposes fallacy ""ai."" long live krull.... oops, nope.",negative
783,"ai worthless.. hype underwhelming.. ai sprellcheck correct grammar punctuation,, might sttart worry.. 50 years",negative
784,"nothing new here, nature limited pool genes leads degenerative disorders. that's nature mutates dna offspring supply fresh genetic material inbreeding generally bad. ai eating dog food suffer fate.",negative
785,induced randomness ai created content would probably mean even legs per elephant.,negative
786,ai ruin everything. indeed collapse. ai start vomit based trash ai input data use.,negative
787,"thi hard say, think writers block may result situation wrote everything could can't anything new without repeating yourself, anyone trite ai mode making meaningless pornograhy random scenes dialogues nothing.",negative
788,called ai nothing algorithm programmed steal people's work. law suits already starting people means even find work stolen used others.,negative
789,"opt make ai creative making ai random, random seed look like scenario? random seed ""creativity"" non-human therefore self-contained within ai model?",negative
790,"lends credence charge ais completely dependent artists create original work (not mention people select material llms). learned anything, people believe, like elaborate photocopying machines.",negative
791,that's new captcha born! genius!,positive
792,"people take random samples internet stuff, almost certainly contain falsely labeled stuff. going fall companies extremely strict sources.",negative
793,"""the best"" much forget real value diversity.",positive
794,"really, think ai already this. prompt simple ""guy sword"", ai fill bunch extra information clothing, stance, background. ai art models clearly way adding additional necessary context prompt insufficiently detailed.",positive
795,"ai generated content absolutely ruining ytube. nothing repetitive speech patterns never get point, rando stock generated images. annoying, obvious. even worse, try make 10 minutes long trick algos. complete garbage banned.",negative
796,"best way content creators protect content used ai models, lie say content generated ai :)",positive
797,using randomness fix mean like human outputs. humans bad random. ai start making pictures elephants actually contain elephants instead making ones elephants predictable.,negative
798,different humans. diversity language creativity toilet. ai perfectly duplicated humanity. :),positive
799,"excellent news, problems seem satisfactory solutions, given state art ai. complexity lovely thing.",positive
800,"believe ai used rewrite history take advantage orwellian concept embodied statements: controls past controls future. controls present controls past. ai naturally converges consistent story regardless whether many heads legs, convergence occur even faster...",positive
801,"100% want bother reading something person bothered write ai content always tagged, waste time",negative
802,"​ this. unless ai understand context like humans do, ai-generated data always banal generic. waiting right time short nvidia stocks. ai overhyped overvalued af.",negative
803,love videos watch them. thank you!,positive
804,humans good random. ai start making pictures monkey asked elephant.,negative
805,phrasing vocabulary excellent charming.,positive
806,creativity spiritual quality. ai spirit.,positive
807,"awesome video, much learning it. cheers pat!",positive
808,"first thing replaced ai online prostitution apps like onlyfans, tango,chamet many more.",positive
809,feel like made great life choice becoming carpenter. money pretty good worry ai taking job,positive
810,guy says leverage. reality 70% employs ppl leverage. mean 70% gone find jobs im 30% no. says one thing. nuke population. robots arent meant help. meant eliminate human input lie say meant “make world better”. question world “making better”,negative
811,semi skilled construction worker looking like great gig atm real responsibility...good pay...extreme fitness ...perfect,positive
812,patrick sir one best content creators ever. keep good work. watching ages. heaps value: thank,positive
813,"hype robots artificial intelligence waste time. machine think outwit human brain. machines faster humans, output input buy operating systems. garbage in, garbage out... thanks nothing!",negative
814,absolutely inspiring. thanks pat.,positive
815,fastest growing job --> humanoid robot technician,positive
816,"already crap walmart grocery stores self-checkout machines. awful ends may even cause riots streets, need stop right now!!",negative
817,yes! took millions new jobs make robots. happened people dont want work minimum wage. expect get $30 hour! newsflash! start low wage work way up! mcdonald's career! cant support family working mcdonald's ! dimwitts.,negative
818,"course, easy exciting worry future.",positive
819,cannot make money people stop spending money businesses using robots instead people. simple.,negative
820,"counter artificial intelligence job market expands up, gonna amazing.",positive
821,outstanding video!,positive
822,wow surprised deborah davis mentioned starting 2k ...now massive portfolio.highly recommended..,positive
823,yeah call complete bs! self driving cars chatbot lawyers already caused billions lawsuits. food robots nowhere seen. mostly extremely expensive maintain. ferrari cheaper,negative
824,"best way start boycott chatgpt/ protect humanity futures! so, human power! weak ai. dark mind behind ai make money layoffs peoples",positive
825,"lol wef lists stupid, everything chopping block soon cheaper ai... anything ai revolution teaching us nothing unthinkable anymore whatever thought yesterday safe safe tomorrow",negative
826,think teachers ever replaced robots.,positive
827,"even going watch video, came based title say... conflating ai robots suggests idiot know fucking thing!!",negative
828,best best survive everybody wants type chat room many find useful already many customer serve reps taking calls already replaced.,positive
829,"craft robot do, electrical, plumbing, roofing, framing, drywall, painting, cabinets, pest control, teaching, security, graphic design, photography, many one package.... nah. i'm good now.",positive
830,"actually “ai future” mentality pushing ai movement more. nobody bothers abt using ai everyone supporting it, that’s best way slow down.",positive
831,"it’s taking jobs, enough propaganda. ai barely stop lying giving fake data. tell us job replaced, it’ll scare us taking lower salaries fear. without human data ai nothing. get rid us feed ai data?",negative
832,"technological revolution completely different. creating new machine, creating new life form, much capable human being. humans become obsolete 10-20 years.",positive
833,ai create beautiful music you´ve ever listen. musicians list.,positive
834,"built backs worker-class laborers, chemists, engineers, physicists, machinists etc. surely know this. best way eliminate threat. seen many hollywood movies.",positive
835,ai-generated interactive teachers going amazing. every student learn pace lessons continuously adapt student's progress. human teachers shift towards babysitters.,positive
836,"ai takes minimum wage jobs illegal immigrants teenagers, government able argue illegal immigrants hired anyone must subsidize survival. instead of, oh know, deporting them.",negative
837,"great great content man, yesss happen give life better everyday matter",positive
838,"well done sir, thank you. max headroom great every network.",positive
839,would perfect crispiest precise haircut ever got life,positive
840,"goof good luck spitting 100 games month hope making 1000$ best everybody make game, nobody care create",negative
841,"hallelujah god still working wonders,i place position miracle.the best thing i've seen today youtube thanks lot..",positive
842,bullshit!! saying 10 years!! ai hurt computer programming!! work warehouse try years get ai get rid us!! ai would work 2 hours clash!! also gave tech guys build ai tech much power!! became partners instead employees!!,negative
843,"one time tech resulted lower prices, ever. prices never ever go again. would take hard landing full recession damnest avoid.",negative
844,@kashaid that's gonna happen would never work.,negative
845,dismissed video soon saw used 2020 report start video. super outdated lol,negative
846,"become confident. keep job, forced implant chip brain continuous, 24/7 connectivity ai. could exponentially increase productivity, opinion, worth retain employment.",positive
847,true wisdom. thou art wizard good man!,positive
848,anyone works ai disgusting traitor humanity.,negative
849,", every logo plain text, ideally arial!",positive
850,high energy video! love it!,positive
851,"demand onlyfans precludes losing 'jobs' 'ai'. matter many robots 'models', real 'models' always 'customers'. realize said tongue cheek, saying.",negative
852,"​ favorite films, masterpiece.",positive
853,love ! straight point,positive
854,"i’ve used opus, it’s impressive surface, use more, basically realise it’s fancy parlour trick",positive
855,"think living dream world. ai smart, companies fired employees soon learn hard cold truth.",positive
856,"solution? space! must set new goals dominating universe, building megastructures requrie ust ai, human ingenuity. purpose redefined, new golden age.",positive
857,truly excellent video.,positive
858,dammnnn love it! great story ai revives humanity keeps us control.,positive
859,"every creative numbers job given ai. everyone work labor gig jobs. office work, painters, every single human works trash hauler janitors dogshit job die 190f summer working conditions",positive
860,think elite cull mass useless eaters (ie. us) agi + human level robotics achieved. important alignment problem human alignment.,positive
861,quit last week. used work 60 hours week 15000 rupees (180 dollars). high end retail shop even sit shop floor.,negative
862,wow great video production! music soundeffects spot on!,positive
863,thank getting truth ai nightmare public consciousness. keep great work!,positive
864,wait wait... bs jobs. means literally zero value. speculation. means fake. ai take fake jobs.,negative
865,mass starvation would literally lead either revolution succession warlords provide food lmao. bread circuses requirement modern civilization. lets fucking real internet starving alot us would willing die would nothing lose...,negative
866,"think ai lead us utopia, even surpass equals human intellect always tool tool practically us",positive
867,"mind blowing attempts cope going many comments. know ai investors trying paint technology ""benign"" ""utopia"" people can't face possibility ai make far, far, far beyond redundant.",negative
868,"i’ve used opus, it’s impressive surface, use more, basically realise it’s fancy parlour trick",positive
869,"think living dream world. ai smart, companies fired employees soon learn hard cold truth.",positive
870,amazing creativity video,positive
871,"even ""arguably"". utter overhaul society, like agricultural revolution 10,000 years that. involved massive upheaval misery happening first time, britain. nobody except naive hippies wants go back industrial revolution.",negative
872,greed. shareholders care people money. could layoff everyone letter delivery guy way ceo would it. going stop billionaires even control government. that's,negative
873,"yes i'm familiar her, stacey macken demonstrates excellent understanding market trends, making well informed decisions leads consistent profit",positive
874,"third time coming across name stacey macken , last tuesday saw telecast economic bubble testimonials clientele earn daily strategies. testimonies impressive",positive
875,think stacey macken best step take following current situation world economy,positive
876,"human genetic manipulation, augmented human intelligence, immortality.",positive
877,true. think key human jobs automation/robotic maintenance roles.,positive
878,apologize anything. explained ai-themed holocaust poem ridiculous trash.,negative
879,knows really. software engineer say great confidence empathy already solved problem computer science.,positive
880,absolutely love insight. always money. thank you!,positive
881,"thanks putting there, another opportunity ai say, “hold beer.” watch movie ‘automata’, plenty homeless ai driven robot examples.",positive
882,great allready front lot people world.,positive
883,give perfect answers drastically increase productivity. personally vouch extremely useful day day work already.,positive
884,"totally disagree new segment jobs available rise ai. agricultural, industrial technoligical revolutions. nothing beyond this. entering late stage capitalism pretty.",negative
885,"creating entity capable imitating do, time thousand times faster. argument new works seems aggressively naive.",positive
886,"man invented wheel, many tasks required multiple humans could sudden completed far fewer people. simply adapted new world. ai change way work help humanity evolve further. losing jobs risk. simply adapt.",positive
887,"since i’m artistic field, thanks creating thing that’s going put business. really appreciate working whole life build business.",positive
888,excellent episode. thank you! many questions answered.,positive
889,ai dead people course voting democrat next election. along illegal immigrants.,negative
890,"incredible human brain miracle invented nature, atheist, secular, tech fanatic, billionaire ceos want create something called a.i. give lots profits, replace jobs, creating lazy generation can’t think, time destroy humans.",positive
891,"best ever listened to, much love both!",positive
892,wow. powerful interview!! amazing!,positive
893,amazing podcast.,positive
894,avoiding inevitable. daniels vision believe iron mixes miry clay exactly ai mixing man doesnt work. close end times. get right god late,negative
895,"putting personal notes later reference, thank you! love! love mo!!! best biggest heart care bear ever!",positive
896,actualy marsiforming earth create perfect world future ai robots,positive
897,amazing human mo. one thing - agi really really loves always will. mom dad!,positive
898,2747 yeah getting punished like raped complaint martial law perpetrators thought could delete witnesses evidence bam they're money,negative
899,climate change going wipe planet one week! acid rain destroy los angeles. believe another ice age destroy planet 1974. must watch al gores new movie...!,negative
900,subbed! mainly strength excellent jimmy carr interview. fantastic too.,positive
901,"excellent analysis, deployed worldwide deep learning ai research library... thank you.",positive
902,feel sense compassion love man i've never met. would love get speak him. beautiful soul obviously he's spent lot time thinking place world important us that. great work steven.,positive
903,love listening honest conversations touch us really hope know life daunting let’s get real future,positive
904,utter garbage. brainwashing idiocy. harari schwab gates rothschilds musk transhumanism scaremongering nonsense.,negative
905,loved whole conversation.,positive
906,best podcast,positive
907,brilliant interview. love humor banter. two chemistry.,positive
908,"ever read ""the humanoids"" jack williamson ? truly great sci fi hits nail head fifty years later relevant conversion. two brain cells rub together, highly recommend whole trilogy.",positive
909,"want believe feel, love them, projecting feelings machines.",positive
910,"""the biggest threat facing humanity humanity age machines"". insightful intelligent interview! cheers!",positive
911,"check elon musks lawsuit openai! democrats can't support failed policies want us arguing race, sex, abortion, bathrooms! rome burns!!",negative
912,"sound human voice ability articulate hopefully never change, conversation great changes.",positive
913,"i'm denying validity anything said here, fail take anything seriously editor told use sfx ""epic climax bass impact hans zimmer trailer sounds"" folder.",negative
914,"man’s heart, soul, values open mindedness software a.i incredible watch.",positive
915,simply put - shut ai now. think fooling? fools never seen terminator matrix movies? u idiots? wake up. shut crap now.,negative
916,ai highly dangerous can’t believe people love affair it. it’s disgusting it’s despicable. it’s pure evil.,negative
917,"every chance get, go cashier, self check out. important human interactions . convenience kill humans . narcissists wef ones i'm scared making ai smarter. want government digital currency control every aspect lives.",positive
918,"mo, beautiful human. world needs you, wisdom compassion",positive
919,"crapping money, robots driven artificial intelligence workers,this destroy money,",negative
920,"9 months later, google funded ai completely change history, google made zero white people anything positive relevance . dems, #demcult",negative
921,"yeah, major bulls.... 10 months old story same. obvious ai survive, talk ""power"" speech sell products may somewhat ""helped ""by ai.",negative
922,"sex year totally fine actually makes ur brain detox lust emotional disruption. also help enlightening hearth, mind,body soul.",positive
923,expect interview get spiritual... excellent content!,positive
924,"intelligent people, cannot seem comprehend human nature risk selfishness, greed, power lust etc always play out? giving sociopathic / greedy leaders ever increasing powerful tools end well :)",positive
925,type guy destroying humanity course rationalizes ai every turn. guys worst humanity trying pretend helping humanity. f; ing egomaniacs.,negative
926,"damn, one heavy... great video!",positive
927,"seriously one best interviews i’ve seen online. question deceased son asked, felt like room. emotion heavy enlightening.",positive
928,"america itself, saw coming took first computer class 1983.... knowing mindset, way think abilities , stop ai would possibly present years ago.. ... believe people shi's hit fan!!!!",positive
929,love money root evil,negative
930,great interview - thank you!most important point opinion: live indeed perfect strom!,positive
931,"teach ai bible (the closest translation possible), greatest parent one created us.",positive
932,"ai currently feel emotions, free will, motivated fear? cmon now.",positive
933,conversation helped grasp somewhat frame scary time. invaluable mental health right now. thank,positive
934,"wonderful, enlightening, discussion presented two intelligent, respectful, humans topic, may monumental impact human civilization. much enjoyed listening, learning from. thank you. (sub'd)",positive
935,wow that's probably one best important video ever.,positive
936,"wow.. said son, moving, displays true passion behind words..",positive
937,yep insane robots replace & destroy planet . worst type wars. creators even worst . new god powerful &?dangerous devil lived hell,negative
938,"certainly ""lowest point uncertainty"" humanity's history 100%.",positive
939,"omg i’ve watched love mo much, ‘live aligned feel longer richer, enrich everyone, love everyone’",positive
940,"first thing ai debunk ""climate change"" real problem. complete scientific fraud.",negative
941,mindful political process is. tallow flow circulation autonomous pollution politics like atomic bombing people killed politicians want new world orders allegedly peaceful purposes countries failed everything tried,negative
942,"wannabe scfi guy talk garbage. 10% or0% good ai rest beyond ""shiva"". japing aboutinteligenc need balalbbalbal. humans need common sense, logic, intelect wisdom. fuck machines. 2 years lesss wil robocomps chasing u like dog. world wide mass genocide front door",negative
943,"live without money? live without working? use ai everything, happen next future? ready nothing?,jobless . fuck going right now? stupidity human beings.",negative
944,ridiculous. can't apply behaviors built upon biological evolution machines.,negative
945,best far. wholehearted thanks :) interesting around 1:35:00,positive
946,"imagine use governments ai!...firing ai spread viruses others countries system shutting deleting everything stealing personal data. black out, back stone age.",negative
947,"present, learn past, create future. make best it. thanks!",positive
948,"loved depth this!! make afraid, all, creator (god) charge, problem, zero doubt! slow us tower babel.",positive
949,"amazing episode, made think much. thanks amazing episode.",positive
950,"superb podcast! favorite line ""what world look like longer need drake?"" scary smart future :)",positive
951,thank this! represents moment clarity long overdue... contains life altering perspective.,positive
952,true skynet terminator films. well done google man helped produce it. fuked up. you’re telling everyone. f world need it? greed. pure yanky greed. god help kids grand kids. f’ed lives. well done. hope you’re happy. american greed.,positive
953,"energy capacity store transmit energy intelligence from. life evidence energy use energy. universe full energy, knowledge result energy.",positive
954,"amazing guest. learned, expanded brain much watching listening this.",positive
955,"wisdom compassion, importantly love humanity, stay away ai",positive
956,podcast gives multiple different perspectives interpret ai amd future,positive
957,"love shows, them!",positive
958,bring ai robot overlords! bow grace willingness wisdom!,positive
959,"simply put, brilliant, intelligent exploration. grateful find this. thanks much.",positive
960,best video-podcast planet!,positive
961,finished listening honest heart felt talk . thank much honesty deep thoughtfull caring way. real real real . love wins end. start again. there's hope. .can't produce negative there's light dark room thanks guys trully. real. original ragman ..thomas.,positive
962,rare occation listened wisdom like one impressive man!,positive
963,machines getting smarter humen getting stupid. best propaganda ever heard ai. wonder guys hired google. joke!,negative
964,ai abomination. bingo polarization power different. bet china it.,negative
965,love ai never give receive. right? alone statement get us fear ai haha,negative
966,best interview i've ever seen. questions asked excellent articulate mind. genius answering future past inquiries greatest issue now. tx i'm also positively terrified highest faith humanity god & good. love new subscriber!,positive
967,"important conversation ever listened to. careful raising kids ai really affect future human race. ai , humans lazy think like lack mental calculations today.",positive
968,really glad im subscribed. eye opener!,positive
969,"ever sum parts, problem open source idiots playing it, introducing human concepts like spite, revenge lust power ect. malevolent traits blood stream, it’s forever.",negative
970,incredibly insightful thought-provoking discussion! (chatgpt),positive
971,"ai worth climate change, really big deal, clime change, easily adapt protect savage nature, opening umbrella good go.",positive
972,oh please. climate change new world order scam fear mongers crapping ai same. can’t sell one world solution without one world problem. solution always favor never yours! follow money policies. don’t take mark beast believing bs.,negative
973,"outstanding video nick jones. well thought presented, clever alarming. concerned... terrifying!!",positive
974,artificial intelligence sprung forth nature. completely natural.,positive
975,loved movie short circuit kid. johnny 5 alive!,positive
976,guys sick.. robot sex fantasy disgusting,negative
977,"1 h 06 min! saying this! lol. life good. firstly, huge thank content. wow, loving this!",positive
978,"issue countries advance ai doesnt, sure dont costs, impacted regardless wont funds deal fallout. catch 22",negative
979,"consider god ultimate control aware everything. don‘t rely people machines. humanity always choose wrong way, history proof. already killed soul want destroy spirit mind.",positive
980,"stupidity people fantastic. so-called ai intelligent all; emotions, utterly impotent!",positive
981,"sex robots represented many movies before. ai symptom intelligence. human imagination capable self prophecies. cling ideas, make happen. human connection subjective cannot deny defines humanity. able lead species collaborate us breed want please.",positive
982,personally believe ai end humanity. become self aware done,positive
983,"delaying children way human extinction. heroes tomorrow born yet! tries make sound sympathetic, actually ends profoundly destructive. powerful thing humans create new humans teach live better previous generation.",positive
984,blew mind. resonates much many levels. thank guys creating this. let's spread urgent message!,positive
985,13 min mind already blowing looks like good interview indeed. thanks this!,positive
986,"next “carryinton event” take care ai unless “fairaday cages”. even destroy best interest, like eating proper food, daily exercise, getting enough sleep stop partaking bad substances..people take arms mass. ai problem..homo sapiens are.",negative
987,"ain't way man actually said ai alive emotions ex-google not, utter non-sense perhaps true future, certainly today. stop misinformation please",negative
988,"dead?! prefer prnrise’s argument. consciusness nonalgorithmic. computers never self aware. wrong, nothing happens. already surrounded evil superhuman. call institution like companies, governments, civilisation.",negative
989,powerful conversation thank sharing!,positive
990,10 minutes interview absolutely worthless. claims robot arms sentient emotions. insult trash.,negative
991,"genius like tools elites. know they're going, insidiously asked go direction. researching infinity, transhumanism, also ""researching"" get rid proletariat.",positive
992,"a.i dangerous create absolute chaos, civilwars, end human life. great reset dictatorship.",positive
993,divine intelligence? innate intelligence? gift every living thing born with?!,positive
994,"podcast excellent, covering important slightly scary topic. hosts really smart. also funny steven keeps calling ""chatgpt"" ""chatgtp,"" mo amusingly claims robocop, terminator, come future.",positive
995,"great interview. v interesting stuff - love live-now, enjoy-what-is here. exactly! i'll try read mo's book. thank you, gentlemen.",positive
996,"much easier machines manipulate us large scale whatever want us to, including solving global warming, reducing population, making compute, killing each-other, helping each-other, won’t need anything marketing us whatever goals are.",positive
997,"i'd rather live alone island absolutely zero human contact ascribe human feelings attributes ai. alcohol, drugs ai, way dull senses avoid living real world. can't handle reality, make bleach cocktail.",negative
998,"1:04:00 guarantee hackers looking use ai control haarp hack world's weather control system... hold rothschild's hostage, collapse fiat currency systems worse",negative
999,"empathy + compassion ...oh, forethought (which take degree intelligence).",positive
1000,1:15:40 - cares billions people dissaprove evil people. ai way beyond people. would care. people naive. said they'd billion times smarter scenarios anthropormorphic. every one.,negative
1001,"keeps saying 0% chance bad scenarios would take nefarious people evil first. bro, bad guy uses ai advance himself, 1 second later ai takes over, naive",negative
1002,ai gonna take world siri don’t even work half time.,negative
1003,seen already deep fakes elon musk joe rogan facebook shorts promoting products certain would never promote. world information marketing make people totally crazy,negative
1004,useless vídeo. biggest risk (ai service bad humans controlling human opinion action) even mentioned.,negative
